filename,emotion,valence_pred,arousal_pred,dominance_pred,raw_response
img_arr_13696.npy,Peace,,,,"{'id': 'chatcmpl-545c3e78-6073-4b08-b16a-3a2511e74dce', 'created': 1764168303, 'model': 'ollama/qwen3-vl:8b', 'object': 'chat.completion', 'choices': [{'finish_reason': 'stop', 'index': 0, 'message': {'content': '{""valence"": 7.5, ""arousal"": 4.5, ""dominance"": 6.0}', 'role': 'assistant'}}], 'usage': {'completion_tokens': 237, 'prompt_tokens': 101, 'total_tokens': 338}}"
img_arr_8679.npy,Peace,,,,"{'id': 'chatcmpl-51980ab6-0078-48e1-a8d7-55adb383da37', 'created': 1764168304, 'model': 'ollama/qwen3-vl:8b', 'object': 'chat.completion', 'choices': [{'finish_reason': 'stop', 'index': 0, 'message': {'content': '{""valence"": 8.0, ""arousal"": 3.0, ""dominance"": 6.0}', 'role': 'assistant'}}], 'usage': {'completion_tokens': 254, 'prompt_tokens': 101, 'total_tokens': 355}}"
img_arr_11758.npy,Peace,,,,"{'id': 'chatcmpl-e7e48a83-777d-480f-8346-fb8787d018e7', 'created': 1764168312, 'model': 'ollama/qwen3-vl:8b', 'object': 'chat.completion', 'choices': [{'finish_reason': 'stop', 'index': 0, 'message': {'content': '{""valence"": 9.0, ""arousal"": 8.5, ""dominance"": 7.0}', 'role': 'assistant'}}], 'usage': {'completion_tokens': 1548, 'prompt_tokens': 101, 'total_tokens': 1649}}"
img_arr_12646.npy,Peace,,,,"{'id': 'chatcmpl-7a362748-4b61-4166-8958-4dbe70532c2b', 'created': 1764168314, 'model': 'ollama/qwen3-vl:8b', 'object': 'chat.completion', 'choices': [{'finish_reason': 'stop', 'index': 0, 'message': {'content': '{""valence"": 8.0, ""arousal"": 7.0, ""dominance"": 3.0}', 'role': 'assistant'}}], 'usage': {'completion_tokens': 379, 'prompt_tokens': 101, 'total_tokens': 480}}"
img_arr_7395.npy,Peace,,,,"{'id': 'chatcmpl-a1b6f629-94e7-45b6-b3bc-778414d7d987', 'created': 1764168316, 'model': 'ollama/qwen3-vl:8b', 'object': 'chat.completion', 'choices': [{'finish_reason': 'stop', 'index': 0, 'message': {'content': '{""valence"": 9, ""arousal"": 7, ""dominance"": 8}', 'role': 'assistant'}}], 'usage': {'completion_tokens': 351, 'prompt_tokens': 101, 'total_tokens': 452}}"
img_arr_11117.npy,Affection,,,,"{'id': 'chatcmpl-d6554e1f-43bc-4169-b5b5-161e46033df8', 'created': 1764168318, 'model': 'ollama/qwen3-vl:8b', 'object': 'chat.completion', 'choices': [{'finish_reason': 'stop', 'index': 0, 'message': {'content': '{""valence"": 9.0, ""arousal"": 6.0, ""dominance"": 7.0}', 'role': 'assistant'}}], 'usage': {'completion_tokens': 225, 'prompt_tokens': 101, 'total_tokens': 326}}"
img_arr_16817.npy,Affection,,,,"{'id': 'chatcmpl-c33c0c17-2524-457f-ad64-64e14ff2144f', 'created': 1764168319, 'model': 'ollama/qwen3-vl:8b', 'object': 'chat.completion', 'choices': [{'finish_reason': 'stop', 'index': 0, 'message': {'content': '{""valence"": 9, ""arousal"": 8, ""dominance"": 6}', 'role': 'assistant'}}], 'usage': {'completion_tokens': 155, 'prompt_tokens': 101, 'total_tokens': 256}}"
img_arr_2458.npy,Affection,,,,"{'id': 'chatcmpl-271c64ad-a5a9-4900-809f-cbfeef4ab1a4', 'created': 1764168321, 'model': 'ollama/qwen3-vl:8b', 'object': 'chat.completion', 'choices': [{'finish_reason': 'stop', 'index': 0, 'message': {'content': '{""valence"": 2.0, ""arousal"": 7.0, ""dominance"": 4.0}', 'role': 'assistant'}}], 'usage': {'completion_tokens': 311, 'prompt_tokens': 101, 'total_tokens': 412}}"
img_arr_8681.npy,Affection,,,,"{'id': 'chatcmpl-cdf37409-f7eb-49bf-a5af-98677754394e', 'created': 1764168323, 'model': 'ollama/qwen3-vl:8b', 'object': 'chat.completion', 'choices': [{'finish_reason': 'stop', 'index': 0, 'message': {'content': '{""valence"": 8.5, ""arousal"": 7.5, ""dominance"": 4.5}', 'role': 'assistant'}}], 'usage': {'completion_tokens': 341, 'prompt_tokens': 101, 'total_tokens': 442}}"
img_arr_125.npy,Affection,,,,"{'id': 'chatcmpl-e58789e2-1698-4ae5-8b0b-12844112e278', 'created': 1764168328, 'model': 'ollama/qwen3-vl:8b', 'object': 'chat.completion', 'choices': [{'finish_reason': 'stop', 'index': 0, 'message': {'content': '{""valence"": 8.5, ""arousal"": 7.5, ""dominance"": 6.0}', 'role': 'assistant'}}], 'usage': {'completion_tokens': 918, 'prompt_tokens': 101, 'total_tokens': 1019}}"
img_arr_13613.npy,Esteem,,,,"{'id': 'chatcmpl-2d2acff8-d042-48ed-aea4-5387f7c71f44', 'created': 1764168329, 'model': 'ollama/qwen3-vl:8b', 'object': 'chat.completion', 'choices': [{'finish_reason': 'stop', 'index': 0, 'message': {'content': '{""valence"": 8.0, ""arousal"": 3.0, ""dominance"": 7.0}', 'role': 'assistant'}}], 'usage': {'completion_tokens': 186, 'prompt_tokens': 101, 'total_tokens': 287}}"
img_arr_12030.npy,Esteem,,,,"{'id': 'chatcmpl-0dfa6ed4-b8df-4dd4-91bb-df94c9af5ae3', 'created': 1764168331, 'model': 'ollama/qwen3-vl:8b', 'object': 'chat.completion', 'choices': [{'finish_reason': 'stop', 'index': 0, 'message': {'content': '{""valence"": 2.0, ""arousal"": 2.0, ""dominance"": 5.0}', 'role': 'assistant'}}], 'usage': {'completion_tokens': 145, 'prompt_tokens': 101, 'total_tokens': 246}}"
img_arr_8343.npy,Esteem,,,,"{'id': 'chatcmpl-d067eccb-6b69-4d36-abfd-cebee590ca01', 'created': 1764168332, 'model': 'ollama/qwen3-vl:8b', 'object': 'chat.completion', 'choices': [{'finish_reason': 'stop', 'index': 0, 'message': {'content': '{""valence"": 3.0, ""arousal"": 4.0, ""dominance"": 8.0}', 'role': 'assistant'}}], 'usage': {'completion_tokens': 157, 'prompt_tokens': 101, 'total_tokens': 258}}"
img_arr_12561.npy,Esteem,,,,"{'id': 'chatcmpl-682ac8ad-d85c-4b20-8a82-996f474b1540', 'created': 1764168334, 'model': 'ollama/qwen3-vl:8b', 'object': 'chat.completion', 'choices': [{'finish_reason': 'stop', 'index': 0, 'message': {'content': '{""valence"": 8.5, ""arousal"": 7.0, ""dominance"": 8.0}', 'role': 'assistant'}}], 'usage': {'completion_tokens': 323, 'prompt_tokens': 101, 'total_tokens': 424}}"
img_arr_1552.npy,Esteem,,,,"{'id': 'chatcmpl-4e2872db-d196-42f4-aa26-de60f9943ba8', 'created': 1764168335, 'model': 'ollama/qwen3-vl:8b', 'object': 'chat.completion', 'choices': [{'finish_reason': 'stop', 'index': 0, 'message': {'content': '{""valence"": 9.0, ""arousal"": 8.0, ""dominance"": 7.0}', 'role': 'assistant'}}], 'usage': {'completion_tokens': 127, 'prompt_tokens': 101, 'total_tokens': 228}}"
